state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
13700000	1	-0.166711787921829	-0.397503656267343	-0.166711787921829	1	0.195717328382326	-0.397503656267343	0.195717328382326	1
13710000	1	-0.239255137681095	-0.676840755949563	-0.239255137681095	1	0.144209232821791	-0.676840755949563	0.144209232821791	1
13720000	1	0.00213108300213294	-0.615138223578149	0.00213108300213294	1	0.00877481818831096	-0.615138223578149	0.00877481818831096	1
13730000	1	-0.277234320756537	-0.642786704917151	-0.277234320756537	1	0.112009817749754	-0.642786704917151	0.112009817749754	1
13740000	1	0.193664963451393	-0.67979150105324	0.193664963451393	1	0.106173047073952	-0.67979150105324	0.106173047073952	1
13750000	1	-0.189643422840366	-0.68600672364695	-0.189643422840366	1	0.158141266312023	-0.68600672364695	0.158141266312023	1
13760000	1	-0.492514017565194	-0.558009831416871	-0.492514017565194	1	0.22524558971007	-0.558009831416871	0.22524558971007	1
13770000	1	-0.184846703571135	-0.438206746492352	-0.184846703571135	1	0.247271704547712	-0.438206746492352	0.247271704547712	1
13780000	1	-0.153626921422269	-0.501148744054888	-0.153626921422269	1	0.125030617114256	-0.501148744054888	0.125030617114256	1
13790000	1	-0.27982534690938	-0.536017685644829	-0.27982534690938	1	0.232978225910645	-0.536017685644829	0.232978225910645	1
13800000	1	-0.0798082539543875	-0.661017412725586	-0.0798082539543875	1	0.316612451207857	-0.661017412725586	0.316612451207857	1
13810000	1	-0.125717635435675	-0.250865417320393	-0.125717635435675	1	-0.204045850680998	-0.250865417320393	-0.204045850680998	1
13820000	1	0.00069843980766505	-0.546764606576558	0.000698439807665049	1	0.0837330224463514	-0.546764606576558	0.0837330224463514	1
13830000	1	-0.255738203009661	-0.392658927932955	-0.255738203009661	1	0.13883168245323	-0.392658927932955	0.13883168245323	1
13840000	1	0.00953666161774026	-0.352762835285153	0.00953666161774026	1	0.234668745448542	-0.352762835285153	0.234668745448542	1
13850000	1	-0.394517866331093	-0.650299967989235	-0.394517866331093	1	0.289289282903349	-0.650299967989235	0.289289282903348	1
13860000	1	-0.0654554255657195	-0.435253538843416	-0.0654554255657195	1	-0.0620968407272939	-0.435253538843416	-0.0620968407272939	1
13870000	1	-0.269307292098242	-0.786947968507159	-0.269307292098242	1	0.244526100086844	-0.786947968507159	0.244526100086845	1
13880000	1	-0.0625510643336542	-0.82844316086592	-0.0625510643336542	1	0.0589611603006886	-0.828443160865921	0.0589611603006886	1
13890000	1	-0.0752905576588108	-0.562621029255373	-0.0752905576588108	1	-0.0161332233276181	-0.562621029255373	-0.0161332233276181	1
13900000	1	-0.261970670048874	-0.565199763188826	-0.261970670048874	1	-0.0126328457703571	-0.565199763188826	-0.0126328457703571	1
13910000	1	-0.531189507452142	-0.704398614239297	-0.531189507452142	1	0.423899993994393	-0.704398614239297	0.423899993994393	1
13920000	1	0.104683503157014	-0.507118820915255	0.104683503157014	1	0.167383376773683	-0.507118820915255	0.167383376773683	1
13930000	1	-0.539119953178111	-0.514364922850722	-0.539119953178111	1	0.333982797043067	-0.514364922850722	0.333982797043067	1
13940000	1	-0.00071637224960872	-0.30206845774369	-0.000716372249608719	1	0.225036826520621	-0.30206845774369	0.225036826520621	1
13950000	1	0.0741020463284305	-0.565508713486558	0.0741020463284305	1	0.0178540530031242	-0.565508713486558	0.0178540530031242	1
13960000	1	-0.421847103783685	-0.616877610886544	-0.421847103783685	1	0.290625978895494	-0.616877610886544	0.290625978895494	1
13970000	1	-0.198140311448097	-0.757481069414422	-0.198140311448097	1	0.111625827448699	-0.757481069414422	0.111625827448699	1
13980000	1	-0.383902366775577	-0.554059640691695	-0.383902366775577	1	0.120803354581696	-0.554059640691695	0.120803354581696	1
13990000	1	-0.0670051373341292	-0.659761313862455	-0.0670051373341292	1	0.0978609349172493	-0.659761313862455	0.0978609349172493	1
1.4e+07	1	-0.374288846497702	-0.521576008612941	-0.374288846497702	1	-0.0493638120690619	-0.521576008612941	-0.0493638120690619	1
14010000	1	-0.107243887497222	-0.599870286499193	-0.107243887497222	1	0.115118062219971	-0.599870286499193	0.115118062219971	1
14020000	1	0.223798563807431	-0.565639090874965	0.223798563807431	1	0.00377643457851381	-0.565639090874965	0.00377643457851379	1
14030000	1	-0.215862294326974	-0.44777780387907	-0.215862294326974	1	0.248917465900043	-0.44777780387907	0.248917465900043	1
14040000	1	-0.147245344447884	-0.600805388433972	-0.147245344447884	1	0.228783269926809	-0.600805388433972	0.228783269926809	1
14050000	1	-0.291440105711943	-0.730388071778735	-0.291440105711943	1	0.117063451513262	-0.730388071778735	0.117063451513262	1
14060000	1	-0.235263109381716	-0.674934002994739	-0.235263109381716	1	0.413492344124871	-0.674934002994739	0.413492344124871	1
14070000	1	-0.489360878718128	-0.681454678475933	-0.489360878718128	1	0.0949863679402686	-0.681454678475933	0.0949863679402686	1
14080000	1	0.000253361947140092	-0.275193340377168	0.000253361947140094	1	-0.0454105242011696	-0.275193340377168	-0.0454105242011696	1
14090000	1	-0.300032572568052	-0.685574995575338	-0.300032572568052	1	0.219535628648426	-0.685574995575338	0.219535628648426	1
14100000	1	0.0661951562778727	-0.635364618222246	0.0661951562778727	1	-0.0274427078015048	-0.635364618222246	-0.0274427078015048	1
14110000	1	-0.364374184676047	-0.604540118354802	-0.364374184676047	1	0.020596138893204	-0.604540118354802	0.020596138893204	1
14120000	1	-0.220645402821791	-0.473222341046453	-0.220645402821791	1	-0.121999147612277	-0.473222341046453	-0.121999147612277	1
14130000	1	-0.457212204948144	-0.765291562015633	-0.457212204948144	1	0.382550098564023	-0.765291562015633	0.382550098564023	1
14140000	1	-0.108457011253892	-0.633674982131286	-0.108457011253892	1	0.212668479692996	-0.633674982131286	0.212668479692996	1
14150000	1	-0.0584149957549947	-0.550528762623531	-0.0584149957549947	1	0.152465871130017	-0.550528762623531	0.152465871130017	1
14160000	1	-0.0490305945736475	-0.56583336192566	-0.0490305945736475	1	0.205201589093763	-0.56583336192566	0.205201589093763	1
14170000	1	-0.0992883872821853	-0.578589948726877	-0.0992883872821853	1	0.159305997150299	-0.578589948726877	0.159305997150299	1
14180000	1	-0.0335983083305887	-0.496972463645897	-0.0335983083305887	1	0.134271035930483	-0.496972463645897	0.134271035930483	1
