Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
970	-79.12525	-83.79422	4.668971	1.792426	0.8288163	0.01788	0.0836299	0.0962932	0.0738461	0.207267	0.0517598	0.368267	0.101058
980	-79.85696	-83.62332	3.766353	1.92288	1.149671	0.426392	0.0995373	0.0194738	0.156775	0.120976	0.101315	0.0467237	0.0288067
990	-78.68203	-84.37421	5.692179	1.33861	0.7710287	0.116343	0.0751902	0.139975	0.0940453	0.0625621	0.0440926	0.282829	0.184962
1000	-79.24763	-84.97106	5.723425	1.217949	0.8760662	0.0351186	0.0529528	0.357817	0.283604	0.0440595	0.00773816	0.188641	0.0300693
1010	-80.61744	-83.26858	2.651139	2.300744	1.329414	0.0393157	0.10645	0.0787745	0.0495227	0.512514	0.0335803	0.151953	0.0278895
1020	-80.8705	-88.45665	7.586151	0.8776891	0.2849631	0.0779927	0.0991877	0.0498814	0.0791976	0.564714	0.0355682	0.0727305	0.0207284
1030	-78.57051	-84.78472	6.214211	1.22621	0.6224121	0.0278923	0.137078	0.00139698	0.0778452	0.492487	0.0642119	0.191676	0.00741304
1040	-78.55903	-84.94974	6.390709	1.283105	0.4772686	0.0862614	0.0356752	0.183994	0.101882	0.101246	0.0872938	0.388759	0.0148893
1050	-79.59018	-86.35342	6.763242	0.9080393	0.6660676	0.193751	0.0651565	0.10167	0.183809	0.162901	0.230057	0.0438648	0.0187907
1060	-78.88948	-83.87176	4.98228	1.667684	0.7969034	0.0557659	0.238105	0.0762038	0.0911395	0.0202059	0.146851	0.0845045	0.287224
1070	-80.36489	-83.42811	3.063225	2.194058	1.230058	0.0880802	0.303112	0.167145	0.0345229	0.0319145	0.103903	0.240755	0.0305682
1080	-81.86802	-83.29167	1.423648	2.603296	1.640608	0.0811476	0.14255	0.0856058	0.0502851	0.102948	0.130287	0.337671	0.0695058
1090	-82.41428	-84.5355	2.121215	2.254513	1.640608	0.0574755	0.106737	0.0142481	0.0794847	0.421837	0.099905	0.102081	0.118232
1100	-78.77807	-84.742	5.96393	1.421153	0.55261	0.244143	0.113744	0.0980814	0.0204614	0.0210312	0.291237	0.129873	0.0814297
1110	-81.56899	-85.40849	3.839507	2.216671	0.8193029	0.202986	0.0228744	0.134332	0.165734	0.0358605	0.21588	0.12498	0.0973533
