Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
4210	-37.61821	-39.42836	1.810153	0.0911238	0.175332
4220	-37.61481	-37.63992	0.0251095	0.225596	0.194606
4230	-40.62965	-38.407	-2.222646	0.393052	0.220751
4240	-39.31939	-38.76846	-0.5509233	0.333804	0.136012
4250	-38.22167	-39.57124	1.349578	0.249686	0.0564397
4260	-37.41306	-38.38351	0.9704442	0.187411	0.151369
4270	-37.60079	-38.68831	1.087521	0.116843	0.211854
4280	-37.60615	-39.24336	1.637209	0.128069	0.153283
4290	-38.456	-41.21587	2.759869	0.026742	0.157914
4300	-38.47906	-37.26338	-1.215686	0.28461	0.242463
4310	-40.1166	-37.82173	-2.294867	0.371682	0.248342
4320	-37.52182	-38.6859	1.164083	0.2181	0.104002
4330	-37.56591	-39.19609	1.630177	0.101661	0.180296
4340	-37.62287	-37.93693	0.3140605	0.237545	0.15777
4350	-37.99407	-37.86759	-0.1264859	0.166546	0.266714
4360	-37.51137	-37.76549	0.2541201	0.196662	0.203815
4370	-38.86695	-37.4975	-1.369454	0.313392	0.226925
4380	-37.42953	-38.49405	1.064524	0.197654	0.133024
4390	-38.11808	-37.58707	-0.5310091	0.190285	0.277816
4400	-43.41626	-38.93991	-4.476343	0.244775	0.56314
4410	-38.50797	-37.20192	-1.306056	0.282046	0.252811
4420	-37.48121	-38.76705	1.285842	0.205628	0.105987
4430	-37.82972	-40.02832	2.198601	0.0619002	0.171098
4440	-37.49381	-38.83386	1.340053	0.169228	0.137718
4450	-38.39587	-37.80658	-0.5892869	0.175815	0.297305
4460	-37.58452	-39.1263	1.541779	0.207736	0.0818347
4470	-37.75364	-39.69574	1.942098	0.108615	0.146477
4480	-37.89843	-40.03068	2.132245	0.0999987	0.138715
