Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
385	1	-38.50226	-40.07278	1.570513	0.24564	0.0414559
386	0	-39.60397	-37.3382	-2.265766	0.244346	0.373171
387	1	-37.62845	-37.73932	0.1108671	0.233689	0.179127
388	0	-39.33757	-40.37028	1.03271	0.0572064	0.276211
389	1	-37.94564	-37.31253	-0.6331159	0.233781	0.243115
390	0	-37.45356	-37.90186	0.4482928	0.198415	0.185339
391	1	-37.42998	-38.04343	0.61345	0.180949	0.18858
392	0	-37.73953	-37.5957	-0.1438312	0.241586	0.193168
393	1	-38.61594	-39.68788	1.071942	0.0719925	0.258046
394	0	-37.56339	-37.66004	0.09664827	0.210995	0.203046
395	1	-37.45354	-38.58912	1.135584	0.205358	0.119199
396	0	-37.4418	-38.60456	1.162759	0.174544	0.147673
397	1	-37.7991	-38.81389	1.014789	0.10599	0.228971
398	0	-37.76925	-39.4046	1.635354	0.0789397	0.202572
399	1	-39.11703	-38.78024	-0.3367935	0.129603	0.321771
400	0	-37.85347	-38.18614	0.3326784	0.258962	0.13475
401	1	-37.83923	-38.57032	0.7310864	0.11951	0.239886
402	0	-37.5788	-39.24106	1.662251	0.179872	0.099323
403	1	-41.1178	-37.9891	-3.128691	0.236959	0.454882
404	0	-37.57895	-37.83133	0.2523829	0.177485	0.223142
405	1	-37.59305	-39.28942	1.696371	0.19518	0.0810762
406	0	-37.54114	-38.30368	0.7625401	0.228263	0.128424
407	1	-37.92217	-38.37106	0.4488904	0.131712	0.25199
408	0	-38.2902	-39.50729	1.217095	0.257746	0.0597907
409	1	-37.51393	-38.92817	1.414242	0.116546	0.18401
410	0	-37.47479	-38.58128	1.106489	0.134775	0.192288
411	1	-38.23007	-37.20606	-1.024018	0.259061	0.251503
412	0	-39.17693	-37.78679	-1.390137	0.194611	0.347487
413	1	-38.1578	-40.45258	2.294781	0.181145	0.0435696
414	0	-38.37189	-38.96664	0.5947513	0.281014	0.090125
415	1	-39.43614	-38.88771	-0.5484266	0.337693	0.131909
416	0	-40.05091	-38.54427	-1.506641	0.168545	0.383588
417	1	-37.99722	-40.23575	2.238525	0.0953685	0.134192
418	0	-38.2422	-37.583	-0.6591957	0.191662	0.28748
419	1	-37.70039	-39.68601	1.985616	0.0770039	0.174339
420	0	-37.432	-38.13081	0.6988096	0.170878	0.191298
421	1	-37.46567	-38.78467	1.319002	0.18881	0.119949
422	0	-37.69163	-39.56662	1.874995	0.0781548	0.182716
423	1	-37.48373	-38.48824	1.004507	0.137374	0.198472
424	0	-38.88198	-40.76215	1.880171	0.0347629	0.225662
425	1	-37.98292	-37.45784	-0.5250743	0.259143	0.208447
426	0	-37.89044	-40.24557	2.355131	0.0598986	0.159618
427	1	-37.59367	-39.26653	1.672864	0.198205	0.080076
428	0	-38.51067	-38.69615	0.1854845	0.294286	0.112104
429	1	-37.91964	-39.92126	2.001613	0.15151	0.0984557
430	0	-37.58439	-39.31339	1.729003	0.101709	0.171737
